,Response,Share of urban households
0,Egypt,89.73%
1,Algeria,79.17%
2,Namibia,73.9%
3,Mauritius,70.44%
4,Equatorial Guinea,62.52%
5,Seychelles,53.88%
6,Morocco,50.53%
7,Djibouti,47.89%
8,Senegal,40.26%
9,Sao Tome and Principe,40.23%
10,Lesotho,39.58%
11,Tunisia,37.31%
12,eSwatini**,36.22%
13,Nigeria,26.95%
14,Togo,25.51%
15,Botswana,22.11%
16,Cabo Verde,21.56%
17,Cote d'Ivoire,21.5%
18,South Africa,20.4%
19,Chad,18.86%
20,Kenya,11.36%
21,Gabon,11.03%
22,Eritrea,10.83%
23,Ghana,9.4%
24,Comoros,8.83%
25,Zambia,8.5%
26,Sudan,8.33%
27,Angola,8.12%
28,Libya,7.95%
29,Sierra Leone,6.96%
30,Gambia,6.04%
31,Cameroon,4.56%
32,Rwanda,4.29%
33,Guinea Bissau,4.19%
34,Uganda,3.93%
35,South Sudan,3.57%
36,Mali,3.48%
37,Zimbabwe,3.29%
38,Mauritania,3.24%
39,Benin,3.15%
40,Guinea,3.1%
41,Tanzania,2.25%
42,Burkina Faso,2.01%
43,Malawi,1.91%
44,Niger,1.78%
45,Madagascar,1.76%
46,Central African Republic,1.45%
47,Mozambique,1.23%
48,Burundi,0.69%
49,"Congo, Dem. Rep.",0.58%
50,Ethiopia,0.42%
51,Liberia,0.01%
