,Country,GDP in billion euros
0,Germany,3449.05
1,United Kingdom,2525.09
2,France,2425.71
3,Italy,1787.66
4,Spain,1245.33
5,Netherlands,810.25
6,Turkey,652.52
7,Switzerland,628.11
8,Poland,529.03
9,Sweden,474.15
10,Belgium,473.09
11,Austria,398.68
12,Norway,360.3
13,Ireland,356.05
14,Denmark,310.0
15,Finland,240.56
16,Czechia,223.95
17,Romania,223.34
18,Portugal,212.32
19,Greece,187.46
20,Hungary,143.83
21,Slovakia,94.17
22,Luxembourg,63.52
23,Bulgaria,60.68
24,Croatia,53.94
25,Lithuania,48.43
26,Slovenia,48.01
27,Serbia,45.91
28,Latvia,30.48
29,Estonia,28.04
30,Cyprus,21.94
31,Iceland,21.6
32,Bosnia and Herzegovina,17.91
33,Albania,13.64
34,Malta,13.28
35,North Macedonia,10.7
36,Liechtenstein,5.82
37,Montenegro,4.66
