,Films,Audience in million viewers
0,"Titanic(J. Cameron, 1998, US)",21.78
1,"Bienvenue chez les Ch'tis(D. Boon, 2008, FR)",20.44
2,"Intouchables(E. Tolédano, O. Nakache, 2011, FR)",19.51
3,"La Grande Vadrouille(G. Oury, 1966, FR/GB)",17.33
4,"Gone with the wind(V. Fleming, 1950, US)",16.73
5,"C'era una volta il West(S. Leone, 1969, IT)",14.88
6,"Avatar(J. Cameron, 2009, US)",14.78
7,"The Jungle Book(W. Reitherman, 1968, US)",14.78
8,"One Hundred and One Dalmatians(W. Disney, 1961, US)",14.7
9,"Astérix et Obélix : mission Cléopâtre(A. Chabat, 2002, FR)",14.41
10,"The Ten Commandments(C.B. DeMille, 1958, US)",14.24
11,"Ben Hur(W. Wyler, 1960, US)",13.86
12,"Les Visiteurs(J.M. Poiré, 1993, FR)",13.67
13,"The Bridge on the River Kwai(D. Lean, 1957, GB)",13.48
14,"Cinderella(W.Disney, 1950, US)",13.27
