,Tennis player,Prize money earned in million U.S. dollars
0,Novak Djokovic,143.63
1,Roger Federer,129.95
2,Rafael Nadal,120.96
3,Andy Murray,61.54
4,Pete Sampras,43.28
5,Stan Wawrinka,34.28
6,David Ferrer,31.48
7,Andre Agassi,31.15
8,Tomas Berdych,29.49
9,Marin Cilic,27.86
10,Juan Martin del Potro,25.89
11,Boris Becker,25.08
12,Yevgeny Kafelnikov,23.88
13,Dominic Thiem,23.87
14,Kei Nishikori,23.85
15,Jo-Wilfried Tsonga,22.16
16,Ivan Lendl,21.26
17,Alexander Zverev,21.01
18,Lleyton Hewitt,20.89
19,Andy Roddick,20.64
