,Month,Number of viewers in thousands
0,December 2020,15.11
1,November 2020,19.02
2,October 2020,15.64
3,September 2020,15.94
4,August 2020,15.41
5,July 2020,15.79
6,June 2020,17.33
7,May 2020,19.12
8,April 2020,16.62
9,March 2020,18.56
10,February 2020,20.02
11,January 2020,25.46
12,December 2019,22.09
13,November 2019,22.75
14,October 2019,22.35
15,September 2019,25.54
16,August 2019,33.62
17,July 2019,29.48
18,June 2019,29.2
19,May 2019,32.01
20,April 2019,28.74
21,March 2019,27.44
22,February 2019,26.84
23,January 2019,40.12
24,December 2018,37.82
25,November 2018,29.34
26,October 2018,31.28
27,September 2018,37.43
28,August 2018,47.64
29,July 2018,60.53
30,June 2018,52.0
31,May 2018,59.35
32,April 2018,69.03
33,March 2018,63.28
34,February 2018,64.69
35,January 2018,72.26
