,Month,Exchange rate
0,Oct' 20,9.79
1,Sep '20,9.1
2,Aug '20,8.78
3,Jul '20,8.26
4,Jun '20,7.68
5,May '20,7.61
6,Apr '20,7.6
7,Mar '20,7.21
8,Feb '20,6.83
9,Jan '20,6.61
10,Dec '19,6.68
11,Nov '19,6.32
12,Oct '19,6.36
13,Sep '19,6.15
14,Aug '19,6.46
15,Jul '19,6.16
16,Jun '19,6.57
17,May '19,6.53
18,Apr '19,6.69
19,Mar '19,6.34
20,Feb '19,6.07
21,Jan '19,5.97
22,Dec '18,6.06
23,Nov '18,5.88
24,Oct '18,6.23
25,Sep '18,6.97
26,Aug '18,7.64
27,Jul '18,5.73
28,Jun '18,5.34
29,May '18,5.26
30,Apr '18,4.89
31,Mar '18,4.65
32,Feb '18,4.67
33,Jan '18,4.55
34,Dec '17,4.55
35,Nov '17,4.66
36,Oct '17,4.42
37,Sep '17,4.2
38,Aug '17,4.11
39,Jul '17,4.13
40,Jun '17,4.01
41,May '17,3.97
42,Apr '17,3.88
43,Mar '17,3.89
44,Feb '17,3.84
45,Jan '17,4.06
46,Dec '16,3.71
47,Nov '16,3.64
48,Oct '16,3.4
49,Sep '16,3.36
50,Aug '16,3.29
51,Jul '16,3.35
