,Month,Price in British pounds per head
0,Nov '19,0.39
1,Oct '19,0.53
2,Sep '19,0.54
3,Aug '19,0.53
4,Jul '19,0.54
5,Jun '19,0.56
6,May '19,0.6
7,Nov '18,0.57
8,Oct '18,0.52
9,Sep '18,0.54
10,Aug '18,0.6
11,Jul '18,0.55
12,Jun '18,0.54
13,May '18,0.64
14,Mar '18,0.56
15,Nov '17,0.5
16,Oct '17,0.53
17,Sep '17,0.51
18,Aug '17,0.51
19,Jul '17,0.54
20,Jun '17,0.54
21,May '17,0.58
22,Apr '17,0.72
23,Jan '17,0.8
24,Dec '16,0.5
25,Nov '16,0.53
26,Oct '16,0.52
27,Sep '16,0.52
28,Aug '16,0.53
29,Jul '16,0.56
30,Jun '16,0.53
31,May '16,0.66
32,Nov '15,0.49
33,Oct '15,0.47
34,Sep '15,0.46
35,Aug '15,0.46
36,Jul '15,0.49
37,Jun '15,0.52
38,May '15,0.51
39,Nov '14,0.54
