,Year,Gross domestic product in billion international dollars
0,2021*,1.52
1,2020*,1.43
2,2019,1.46
3,2018,1.41
4,2017,1.33
5,2016,1.26
6,2015,1.21
7,2014,1.16
8,2013,1.12
9,2012,1.07
10,2011,1.0
11,2010,0.87
12,2009,0.8
13,2008,0.83
14,2007,0.76
15,2006,0.7
16,2005,0.65
17,2004,0.56
18,2003,0.51
19,2002,0.47
20,2001,0.47
21,2000,0.5
22,1999,0.57
23,1998,0.57
24,1997,0.55
25,1996,0.55
26,1995,0.53
27,1994,0.47
28,1993,0.43
29,1992,0.4
30,1991,0.35
31,1990,0.32
32,1989,0.3
33,1988,0.28
34,1987,0.26
35,1986,0.24
36,1985,0.23
37,1984,0.23
