,Week ending,Number of initial unemployment insurance claims in thousands
0,"January 2, 2021",787
1,"December 26, 2020",790
2,"December 19, 2020",806
3,"December 12, 2020",892
4,"December 5, 2020",862
5,"November 28, 2020",716
6,"November 21, 2020",787
7,"November 14, 2020",748
8,"November 7, 2020",711
9,"October 31, 2020",757
10,"October 24, 2020",758
11,"October 17, 2020",797
12,"October 10, 2020",842
13,"October 3, 2020",767
14,"September 26, 2020",849
15,"September 19, 2020",873
16,"September 12, 2020",866
17,"September 5, 2020",893
18,"August 29, 2020",884
19,"August 22, 2020",1011
20,"August 15, 2020",1104
21,"August 8, 2020",971
22,"August 1, 2020",1191
23,"July 25, 2020",1435
24,"July 18, 2020",1422
25,"July 11, 2020",1308
26,"July 4, 2020",1310
27,"June 27, 2020",1408
28,"June 20, 2020",1482
29,"June 13, 2020",1540
30,"June 6, 2020",1566
31,"May 30, 2020",1897
32,"May 23, 2020",2123
33,"May 16, 2020",2446
34,"May 9, 2020",2687
35,"May 2, 2020",3176
36,"April 25, 2020",3867
37,"April 18, 2020",4442
38,"April 11, 2020",5237
39,"April 4, 2020",6615
40,"March 28, 2020",6867
41,"March 21, 2020",3307
42,"March 14, 2020",282
43,"March 7, 2020",211
44,"February 29, 2020",217
45,"February 22, 2020",220
46,"February 15, 2020",215
47,"February 8, 2020",204
48,"February 1, 2020",201
49,"January 25, 2020",212
50,"January 18, 2020",220
51,"January 11, 2020",207
52,"January 4, 2020",212
