,Response,Share of people aged 15-64 with a degree
0,Ireland,40.5%
1,Cyprus,39.4%
2,United Kingdom,39.3%
3,Luxembourg,38.3%
4,Switzerland,37.7%
5,Norway,37.5%
6,Finland,37.3%
7,Sweden,37.1%
8,Iceland,36.5%
9,Lithuania,36.1%
10,Belgium,36%
11,Estonia,35.9%
12,Spain,34%
13,Netherlands,33%
14,France,32.8%
15,Denmark,32.7%
16,Latvia,30.1%
17,Austria,30.1%
18,Slovenia,28.7%
19,Greece,27.7%
20,Poland,27.2%
21,Germany,25.2%
22,Bulgaria,24.8%
23,Malta,24.6%
24,Portugal,22.5%
25,Croatia,22%
26,Slovakia,22%
27,Hungary,21.7%
28,Czechia,21.7%
29,Serbia,20.4%
30,Montenegro,20.3%
31,North Macedonia,17.6%
32,Turkey,17.3%
33,Italy,17.1%
34,Romania,15.5%
