,province of China,Illiteracy rate
0,Tibet,33.11%
1,Qinghai,10.6%
2,Gansu,10.48%
3,Guizhou,10.19%
4,Ningxia,8.39%
5,Shandong,7.33%
6,Yunnan,7.31%
7,Sichuan,6.81%
8,Fujian,6.81%
9,Anhui,6.43%
10,Hubei,4.84%
11,Jiangsu,4.75%
12,China in total,4.59%
13,Zhejiang,4.52%
14,Henan,4.45%
15,Inner Mongolia,4.15%
16,Shaanxi,3.97%
17,Hainan,3.84%
18,Xinjiang,3.71%
19,Chongqing,3.15%
20,Guangdong,2.99%
21,Jiangxi,2.95%
22,Guangxi,2.73%
23,Hunan,2.71%
24,Heilongjiang,2.58%
25,Hebei,2.54%
26,Shanghai,2.49%
27,Jilin,2.25%
28,Shanxi,2%
29,Beijing,1.73%
30,Tianjin,1.72%
31,Liaoning,1.29%
