,Country,2016,2017
0,France,2260,2314
1,Great Britain,1170,1602
2,Switzerland,667,661
3,Germany,660,688
4,The Netherlands,581,610
5,Spain,341,341
6,Austria,328,330
7,Italy,323,312
8,Portugal,296,309
9,Greece,269,260
10,Czech Republic,225,240
11,Monaco ***,-,223
12,Slovenia,159,167
13,Poland,127,173
14,Sweden,123,116
15,Belgium ****,114,94
16,Hungary,93,107
17,Denmark,61,60
18,Estonia **,54,60
19,Luxembourg,40,41
20,Lithuania,31,31
21,Slovakia,28,31
22,Finland,29,30
23,Latvia,17,20
24,San Marino,17,17
25,Serbia,9,11
26,Montenegro ****,11,10
