,Year,Gross domestic product in billion international dollars
0,2021*,57.18
1,2020*,53.41
2,2019*,52.87
3,2018*,49.6
4,2017,46.31
5,2016,43.73
6,2015,41.62
7,2014,39.94
8,2013,37.95
9,2012,36.45
10,2011,34.72
11,2010,33.48
12,2009,32.89
13,2008,34.0
14,2007,31.25
15,2006,28.79
16,2005,26.51
17,2004,24.55
18,2003,22.71
19,2002,20.31
20,2001,22.82
21,2000,21.07
22,1999,19.73
23,1998,18.58
24,1997,17.68
25,1996,16.76
26,1995,16.11
27,1994,15.52
28,1993,15.2
29,1992,14.55
30,1991,14.06
31,1990,14.51
32,1989,13.56
33,1988,12.54
34,1987,11.71
35,1986,11.3
36,1985,10.86
37,1984,10.41
