,syndrome,Distribution of causes of death
0,Lower respiratory infections,10.4%
1,HIV/AIDS,8.1%
2,Diarrhoeal diseases,7.4%
3,Ischaemic heart disease,5.8%
4,Malaria,4.6%
5,Tuberculosis,4.6%
6,Stroke,4.2%
7,Preterm birth complications,3.9%
8,Birth asphyxia and birth trauma,3.7%
9,Road injury,3.2%
10,Protein-energy malnutrition,2.4%
11,Maternal conditions,2.2%
12,Congenital anomalies,2.1%
13,Meningitis,2.1%
14,Cirrhosis of the liver,2%
15,Neonatal sepsis and infections,2%
16,Diabetes mellitus,1.9%
17,Chronic obstructive pulmonary disease,1.3%
18,Interpersonal violence,1.2%
19,Alzheimer disease and other dementias,1%
