,Year,GDP per capita in U.S. dollars
0,2024*,72325.94
1,2023*,69413.32
2,2022*,66656.96
3,2021*,64106.78
4,2020*,61732.57
5,2019*,59795.27
6,2018,60897.23
7,2017,57380.2
8,2016,54665.22
9,2015,53478.5
10,2014,62729.5
11,2013,61325.58
12,2012,58623.41
13,2011,61864.09
14,2010,58177.16
15,2009,58286.54
16,2008,64531.12
17,2007,58641.19
18,2006,52121.25
19,2005,48872.1
20,2004,46571.28
21,2003,40512.05
22,2002,33275.56
23,2001,30806.61
24,2000,30798.72
25,1999,33492.35
26,1998,33426.97
27,1997,32897.57
28,1996,35732.69
29,1995,35471.26
30,1994,30050.88
31,1993,27640.5
32,1992,29622.47
33,1991,27052.65
34,1990,26920.58
35,1989,21913.16
36,1988,22528.11
37,1987,21349.95
38,1986,17215.43
39,1985,12259.28
40,1984,11561.77
