,State,Share enrolled
0,Massachusetts,51.2%
1,Rhode Island,50.2%
2,Vermont,48.3%
3,Michigan,47.7%
4,Nebraska,47.3%
5,North Dakota,46.8%
6,Connecticut,46.5%
7,Minnesota,46.4%
8,Pennsylvania,46.4%
9,New York,46.1%
10,Iowa,46%
11,New Jersey,45.7%
12,Utah,44.9%
13,Illinois,44.7%
14,California,44.5%
15,Ohio,44.3%
16,Wisconsin,44.2%
17,Delaware,44.1%
18,New Hampshire,43.9%
19,Florida,43.6%
20,South Dakota,43.2%
21,District of Columbia,43.1%
22,Maryland,43%
23,Kansas,42.8%
24,Indiana,42.8%
25,Colorado,42.5%
26,U.S. Average,42.4%
27,Maine,42%
28,Missouri,41.3%
29,Oregon,41.2%
30,West Virginia,41.1%
31,Virginia,40.6%
32,North Carolina,40.2%
33,Alabama,40%
34,Mississippi,39.9%
35,South Carolina,39.9%
36,New Mexico,39.3%
37,Georgia,38.9%
38,Montana,38.8%
39,Arkansas,37.8%
40,Oklahoma,37.7%
41,Texas,37.6%
42,Tennessee,37.5%
43,Idaho,37.2%
44,Washington,37.2%
45,Wyoming,36.7%
46,Hawaii,36.7%
47,Louisiana,36.5%
48,Arizona,35.8%
49,Kentucky,35.4%
50,Alaska,30.9%
51,Nevada,29.9%
