,Fiscal quarters,Revenue in billion U.S. dollars
0,Q2 '20,36.91
1,Q1 '20,33.06
2,Q4 '19,33.72
3,Q3 '19,30.57
4,Q2 '19,32.47
5,Q1 '19,29.08
6,Q4 '18,30.08
7,Q3 '18,26.82
8,Q2 '18,28.92
9,Q1 '18,24.54
10,Q4 '17,23.3
11,Q3 '17,22.1
12,Q2 '17,24.1
13,Q1 '17,21.93
14,Q4 '16,20.61
15,Q3 '16,20.53
16,Q2 '16,23.8
17,Q1 '16,20.38
18,Q4 '15,22.18
19,Q3 '15,21.73
20,Q2 '15,26.47
21,Q1 '15,23.2
22,Q4 '14,23.38
23,Q3 '14,20.4
24,Q2 '14,24.52
25,Q1 '14,18.53
26,Q4 '13,19.9
27,Q3 '13,20.49
28,Q2 '13,21.46
29,Q1 '13,16.01
30,Q4 '12,18.06
31,Q3 '12,17.41
32,Q2 '12,20.89
33,Q1 '12,17.37
34,Q4 '11,17.37
35,Q3 '11,16.43
36,Q2 '11,19.95
37,Q1 '11,16.2
38,Q4 '10,16.04
39,Q3 '10,14.5
40,Q2 '10,19.02
41,Q1 '10,12.92
42,Q4 '09,13.1
43,Q3 '09,13.65
44,Q2 '09,16.63
45,Q1 '09,15.06
46,Q4 '08,15.84
47,Q3 '08,14.45
48,Q2 '08,16.37
49,Q1 '08,13.76
