,Response,Share of total goods imported
0,Germany,12.9%
1,China,9.3%
2,United States,9.3%
3,Netherlands,8.4%
4,France,6.1%
5,Belgium,5.1%
6,Italy,3.9%
7,Spain,3.4%
8,Norway,3.2%
9,Ireland,2.7%
10,Poland,2.2%
11,Japan,1.9%
12,Turkey,1.8%
13,Russia,1.8%
14,India,1.7%
15,Canada,1.7%
16,Switzerland,1.7%
17,Hong Kong,1.4%
18,Denmark,1.3%
19,Sweden,1.3%
20,Czechia,1.2%
21,South Africa,0.9%
22,Vietnam,0.9%
23,South Korea,0.8%
24,Australia,0.8%
25,Austria,0.8%
26,Taiwan,0.7%
27,Saudi Arabia,0.7%
28,Portugal,0.6%
29,United Arab Emirates,0.6%
30,Bangladesh,0.6%
31,Thailand,0.6%
32,Hungary,0.6%
33,Singapore,0.6%
34,Slovakia,0.5%
35,Finland,0.5%
36,Qatar,0.5%
37,Brazil,0.5%
38,Malaysia,0.4%
39,Algeria,0.4%
40,Romania,0.4%
41,Mexico,0.3%
42,Nigeria,0.3%
43,Pakistan,0.3%
44,Israel,0.2%
45,Indonesia,0.2%
46,Greece,0.2%
47,Egypt,0.2%
48,New Zealand,0.2%
49,Cambodia,0.2%
