,general insurance companies in the United Kingdom (UK),General insurance gross written premiums in million GBP
0,AVIVA plc,4439
1,AXA UK plc,3189
2,Direct Line Group,3099
3,RSA Insurance Group plc,2856
4,Zurich Insurance Group Ltd (Zurich),2615
5,Allianz Insurance plc,2351
6,Ageas Insurance Limited,1821
7,AIG Europe Limited,1551
8,Bupa Insurance Limited,1495
9,Liverpool Victoria Friendly Society Limited,1394
10,National Farmers Union Mutual Insurance Society Ltd,1272
11,Centrica Plc,1023
12,QBE Holdings (EO) Limited,1021
13,Lloyds Banking Group plc,866
14,Admiral Group plc,809
15,Swiss Reinsurance Company Limited (Zurich),539
16,esure insurance Limited,518
17,Hastings Insurance Group Limited,496
18,Covea Insurance plc,445
19,Simply Health,393
