,Year,Percentage change q-o-q
0,2020 Q2,56.7%
1,2020 Q1,9%
2,2019 Q4,6.9%
3,2019 Q3,11.2%
4,2019 Q2,10.4%
5,2019 Q1,13.9%
6,2018 Q4,13%
7,2018 Q3,13.7%
8,2018 Q2,16.5%
9,2018 Q1,15.2%
10,2017 Q4,9.5%
11,2017 Q3,17.1%
12,2017 Q2,19.8%
13,2017 Q1,21.1%
14,2016 Q4,29.5%
15,2016 Q3,22.6%
16,2016 Q2,16.6%
17,2016 Q1,12.5%
18,2015 Q4,11.3%
19,2015 Q3,12.3%
20,2015 Q2,12.6%
21,2015 Q1,14.3%
22,2014 Q4,14%
23,2014 Q3,12.6%
24,2014 Q2,15.5%
25,2014 Q1,10.5%
26,2013 Q4,15.7%
27,2013 Q3,16.3%
28,2013 Q2,14.5%
29,2013 Q1,15.1%
30,2012 Q4,12.7%
31,2012 Q3,13.3%
32,2012 Q2,20.3%
33,2012 Q1,16.5%
34,2011 Q4,16%
35,2011 Q3,16.1%
36,2011 Q2,18.8%
37,2011 Q1,23.1%
38,2010 Q4,21.4%
39,2010 Q3,20.7%
40,2010 Q2,18%
41,2010 Q1,17.6%
42,2009 Q4,28.3%
43,2009 Q3,25.6%
44,2009 Q2,26.3%
45,2009 Q1,34.1%
46,2008 Q4,40.4%
47,2008 Q3,48.4%
48,2008 Q2,54.8%
49,2008 Q1,62.8%
