,State,Number of buses
0,California,100526
1,New York,81821
2,Texas,70091
3,Florida,59235
4,Pennsylvania,56336
5,Ohio,41612
6,Georgia,36871
7,Virginia,35080
8,Illinois,34670
9,North Carolina,32097
10,Tennessee,29569
11,Louisiana,29461
12,Missouri,27220
13,New Jersey,26021
14,Washington,24563
15,Maryland,23056
16,Indiana,21195
17,Minnesota,20039
18,Oregon,17654
19,South Carolina,17652
20,Wisconsin,14953
21,Massachusetts,13751
22,Nebraska,13605
23,Colorado,13485
24,Arkansas,12032
25,Connecticut,11729
26,Kentucky,10803
27,Iowa,9431
28,Michigan,8945
29,Alaska,8645
30,Arizona,8407
31,Mississippi,7429
32,Kansas,6572
33,Utah,6591
34,Alabama,5592
35,New Mexico,5543
36,District of Columbia,5403
37,Montana,5114
38,Maine,4598
39,Nevada,4298
40,Wyoming,4101
41,Idaho,3870
42,Delaware,3830
43,North Dakota,3503
44,West Virginia,3186
45,New Hampshire,3096
46,Hawaii,2882
47,Oklahoma,2857
48,South Dakota,2658
49,Rhode Island,2245
50,Vermont,1090
