,Month,Market value in million euros
0,Kevin De Bruyne,150
1,Eden Hazard,110
2,Romelu Lukaku,90
3,Thibaut Courtois,60
4,Toby Alderweireld,40
5,Michy Batshuayi,40
6,Jan Vertonghen,32
7,Dries Mertens,30
8,Yannick Carrasco,25
9,Thorgan Hazard,22
10,Youri Tielemans,20
11,Mousa Dembélé,18
12,Axel Witsel,18
13,Leander Dendoncker,17
14,Thomas Meunier,15
15,Marouane Fellaini,12
16,Adnan Januzaj,12
17,Vincent Kompany,10
18,Simon Mignolet,10
19,Nacer Chadli,10
20,Koen Casteels,6
21,Thomas Vermaelen,5
22,Dedryck Boyata,2
