,football league and country,Brand value in million dollars
0,Barclays Premier League(England),4170
1,Fußball-Bundesliga(Germany),3038
2,BBVA-Liga(Spain),1531
3,Serie A(Italy),1122
4,Ligue 1 Orange(France),849
5,Spor Toto Süper Lig(Turkey),431
6,Eredivisie(Netherlands),422
7,SOGAZ Russian Football Championship(Russia),376
8,Ukrainian Premier League(Ukraine),291
9,Axpo Super League(Switzerland),201
10,The Danish Superliga(Denmark),155
11,Jupiler Pro League(Belgium),150
12,Tippeligaen(Norway),108
13,Liga ZON Sagres(Portugal),108
14,Liga | Bergenbier(Romania),102
15,Clydesdale Bank Premier League(Scotland),96
16,Jalen SuperLiga(Serbia),77
17,Österreichische Fußball-Bundesliga(Austria),70
18,T-Mobile Ekstraklasa(Poland),54
19,Allsvenskan(Sweden),50
