,Response,Share of search traffic
0,Worldwide,9%
1,United States,33%
2,Brazil,3%
3,Canada,17%
4,Latin America*,5%
5,Asia Pacific,3%
6,Australia,12%
7,Hong Kong,19%
8,India,7%
9,Indonesia,7%
10,Malaysia,8%
11,New Zealand,6%
12,Philippines,5%
13,Singapore,8%
14,Taiwan,24%
15,Vietnam,8%
16,Europe,9%
17,Austria,12%
18,Belgium,12%
19,Denmark,9%
20,Finland,7%
21,France,19%
22,Germany,12%
23,Ireland,8%
24,Italy,9%
25,Netherlands,9%
26,Norway,17%
27,Spain,9%
28,Sweden,12%
29,Switzerland,12%
30,United Kingdom,26%
