,Month,Number of cases
0,"Jan 6, 2021",145590
1,"Jan 5, 2021",144583
2,"Jan 4, 2021",143464
3,"Jan 3, 2021",142187
4,"Jan 2, 2021",140878
5,"Jan 1, 2021",139471
6,"Dec 31, 2020",138062
7,"Dec 30, 2020",136644
8,"Dec 29, 2020",135233
9,"Dec 28, 2020",133900
10,"Dec 27, 2020",132541
11,"Dec 26, 2020",131315
12,"Dec 25, 2020",130126
13,"Dec 24, 2020",128993
14,"Dec 23, 2020",127972
15,"Dec 22, 2020",127061
16,"Dec 21, 2020",126273
17,"Dec 20, 2020",125555
18,"Dec 19, 2020",124891
19,"Dec 18, 2020",124280
20,"Dec 17, 2020",123701
21,"Dec 16, 2020",123153
22,"Dec 15, 2020",122609
23,"Dec 14, 2020",122086
24,"Dec 13, 2020",121575
25,"Dec 12, 2020",121089
26,"Dec 11, 2020",120611
27,"Dec 10, 2020",120147
28,"Dec 9, 2020",119702
29,"Dec 8, 2020",119281
30,"Dec 7, 2020",118847
31,"Dec 6, 2020",118432
32,"Dec 5, 2020",118014
33,"Dec 4, 2020",117583
34,"Dec 3, 2020",117156
35,"Dec 2, 2020",116724
36,"Dec 1, 2020",116303
37,"Nov 30, 2020",115911
38,"Nov 29, 2020",115541
39,"Nov 28, 2020",115183
40,"Nov 27, 2020",114832
41,"Nov 26, 2020",114475
42,"Nov 25, 2020",114107
43,"Nov 24, 2020",113742
44,"Nov 23, 2020",113381
45,"Nov 22, 2020",113027
46,"Nov 21, 2020",112676
47,"Nov 20, 2020",112318
48,"Nov 19, 2020",111955
49,"Nov 18, 2020",111613
50,"Nov 17, 2020",111284
51,"Nov 16, 2020",111009
52,"Nov 15, 2020",110767
53,"Nov 14, 2020",110547
54,"Nov 13, 2020",110319
55,"Nov 12, 2020",110095
56,"Nov 11, 2020",109881
57,"Nov 10, 2020",109654
58,"Nov 9, 2020",109422
59,"Nov 8, 2020",109201
60,"Nov 7, 2020",108962
61,"Nov 6, 2020",108754
62,"Nov 5, 2020",108530
63,"Nov 4, 2020",108329
64,"Nov 3, 2020",108122
65,"Nov 2, 2020",107925
66,"Nov 1, 2020",107736
67,"Oct 31, 2020",107555
68,"Oct 30, 2020",107376
69,"Oct 29, 2020",107209
70,"Oct 28, 2020",107030
71,"Oct 27, 2020",106877
72,"Oct 26, 2020",106707
73,"Oct 25, 2020",106540
74,"Oct 24, 2020",106397
75,"Oct 23, 2020",106230
76,"Oct 22, 2020",106060
77,"Oct 21, 2020",105883
78,"Oct 20, 2020",105705
79,"Oct 19, 2020",105547
80,"Oct 18, 2020",105424
81,"Oct 17, 2020",105297
82,"Oct 16, 2020",105159
83,"Oct 15, 2020",105033
84,"Oct 14, 2020",104915
85,"Oct 13, 2020",104787
86,"Oct 12, 2020",104648
87,"Oct 11, 2020",104516
88,"Oct 10, 2020",104387
89,"Oct 9, 2020",104262
90,"Oct 8, 2020",104156
91,"Oct 7, 2020",104035
92,"Oct 6, 2020",103902
93,"Oct 5, 2020",103781
94,"Oct 4, 2020",103683
95,"Oct 3, 2020",103575
96,"Oct 2, 2020",103466
97,"Oct 1, 2020",103317
98,"Sep 30, 2020",103198
99,"Sep 29, 2020",103079
100,"Sep 28, 2020",102955
101,"Sep 27, 2020",102840
102,"Sep 26, 2020",102736
103,"Sep 25, 2020",102625
104,"Sep 24, 2020",102513
105,"Sep 23, 2020",102375
106,"Sep 22, 2020",102254
107,"Sep 21, 2020",102141
108,"Sep 20, 2020",102015
109,"Sep 19, 2020",101900
110,"Sep 18, 2020",101772
111,"Sep 17, 2020",101641
112,"Sep 16, 2020",101500
113,"Sep 15, 2020",101340
114,"Sep 14, 2020",101177
115,"Sep 13, 2020",101009
116,"Sep 12, 2020",100856
117,"Sep 11, 2020",100708
118,"Sep 10, 2020",100557
119,"Sep 9, 2020",100403
120,"Sep 8, 2020",100228
121,"Sep 7, 2020",100041
122,"Sep 6, 2020",99863
123,"Sep 5, 2020",99712
124,"Sep 4, 2020",99582
125,"Sep 3, 2020",99425
126,"Sep 2, 2020",99280
127,"Sep 1, 2020",99115
128,"Aug 31, 2020",98939
129,"Aug 30, 2020",98727
130,"Aug 29, 2020",98497
131,"Aug 28, 2020",98285
132,"Aug 27, 2020",98062
133,"Aug 26, 2020",97825
134,"Aug 25, 2020",97619
135,"Aug 24, 2020",97478
136,"Aug 23, 2020",97340
137,"Aug 22, 2020",97237
138,"Aug 21, 2020",97148
139,"Aug 20, 2020",97025
140,"Aug 19, 2020",96914
141,"Aug 18, 2020",96753
142,"Aug 17, 2020",96590
143,"Aug 16, 2020",96475
144,"Aug 15, 2020",96336
145,"Aug 14, 2020",96220
146,"Aug 13, 2020",96108
147,"Aug 12, 2020",95963
148,"Aug 11, 2020",95834
149,"Aug 10, 2020",95666
150,"Aug 9, 2020",95492
151,"Aug 8, 2020",95314
152,"Aug 7, 2020",95147
153,"Aug 6, 2020",95006
154,"Aug 5, 2020",94875
155,"Aug 4, 2020",94752
156,"Aug 3, 2020",94640
157,"Aug 2, 2020",94483
158,"Aug 1, 2020",94316
159,"Jul 31, 2020",94078
160,"Jul 30, 2020",93757
161,"Jul 29, 2020",93356
162,"Jul 28, 2020",92947
163,"Jul 27, 2020",92482
164,"Jul 26, 2020",92062
165,"Jul 25, 2020",91583
166,"Jul 24, 2020",91072
167,"Jul 23, 2020",90413
168,"Jul 22, 2020",89745
169,"Jul 21, 2020",89078
170,Jul 20. 2020,88402
171,"Jul 19, 2020",87775
172,"Jul 18, 2020",87172
173,"Jul 17, 2020",86474
174,"Jul 16, 2020",85771
175,"Jul 15, 2020",84843
176,"Jul 14, 2020",83930
177,"Jul 13, 2020",83001
178,"Jul 12, 2020",82070
179,"Jul 11, 2020",81158
180,"Jul 10, 2020",80235
181,"Jul 09, 2020",79254
182,"Jul 08, 2020",78304
183,"Jul 07, 2020",77279
184,"Jul 06, 2020",76222
185,"Jul 05, 2020",75253
186,"Jul 04, 2020",74035
187,"Jul 03, 2020",72711
188,"Jul 02, 2020",71299
189,"Jul 01, 2020",69814
190,"Jun 30, 2020",68311
191,"Jun 29, 2020",66754
192,"Jun 28, 2020",65188
193,"Jun 27, 2020",63923
194,"Jun 26, 2020",62755
195,"Jun 25, 2020",61130
196,"Jun 24, 2020",59561
197,"Jun 23, 2020",58141
198,"Jun 22, 2020",56809
199,"Jun 21, 2020",55233
200,"Jun 20, 2020",53758
201,"Jun 19, 2020",52211
202,"Jun 18, 2020",50437
203,"Jun 17, 2020",49219
