,Year,Gross domestic product in billion U.S. dollars
0,2024*,2296.03
1,2023*,2188.89
2,2022*,2084.3
3,2021*,1987.82
4,2020*,1893.01
5,2019*,1847.02
6,2018,1867.82
7,2017,2052.81
8,2016,1795.37
9,2015,1799.88
10,2014,2456.11
11,2013,2471.56
12,2012,2464.4
13,2011,2613.99
14,2010,2207.62
15,2009,1667.68
16,2008,1694.87
17,2007,1396.11
18,2006,1106.37
19,2005,890.67
20,2004,668.43
21,2003,557.68
22,2002,509.36
23,2001,559.96
24,2000,655.44
25,1999,599.87
26,1998,865.12
27,1997,884.31
28,1996,850.42
29,1995,786.54
30,1994,546.57
31,1993,429.03
32,1992,382.33
33,1991,399.11
34,1990,455.17
35,1989,439.28
36,1988,319.99
37,1987,286.44
38,1986,263.16
39,1985,226.86
40,1984,142.91
