,Response,Share of internet users
0,Buy a product online,45%
1,Buy or make a reservation for travel,20%
2,Check weather reports and forecasts online,55%
3,Do any banking online,55%
4,Get news online,66%
5,Look for news and information about politics,42%
6,Participate in an online auction,14%
7,Send instant messages,35%
8,Send or read e-mail,82%
9,Use a search engine to find information,70%
10,Use a social networking site,56%
11,Use classified ads sites like Craigslist,15%
12,Watch a video on a video-sharing site,40%
13,None of the above,1%
14,I don’t use the Internet,0%
