,Month,Units sold
0,Oct '19,404
1,Sep '19,961
2,Aug '19,436
3,Jul '19,717
4,Jun '19,1324
5,May '19,1010
6,Apr '19,739
7,Mar '19,1333
8,Feb '19,185
9,Jan '19,293
10,Dec ´18,289
11,Nov ´18,562
12,Oct '18,374
13,Sep '18,945
14,Aug '18,500
15,Jul '18,697
16,Jun '18,1329
17,May '18,1014
18,Apr '18,840
19,Mar '18,1348
20,Feb '18,189
21,Jan '18,404
22,Dec ´17,366
23,Nov ´17,396
24,Oct ´17,504
25,Sep '17,1005
26,Aug '17,532
27,Jul '17,735
28,Jun '17,1325
29,May '17,1149
30,Apr '17,980
31,Mar '17,1539
32,Feb '17,212
33,Jan '17,371
34,Nov ´16,466
35,Oct '16,507
36,Sep '16,1286
37,Aug '16,478
38,Jul '16,759
39,Jun ´16,1374
40,May '16,1100
41,Apr '16,945
42,Mar '16,1340
43,Feb '16,213
44,Jan '16,336
45,Dec '15,224
46,Nov '15,365
47,Oct '15,442
48,Sep '15,1000
49,Aug '15,474
50,Jul '15,706
51,Jun '15,1239
52,May '15,915
53,Apr '15,856
54,Mar '15,1496
55,Feb '15,190
56,Jan '15,352
57,Dec '14,227
58,Nov '14,302
59,Oct '14,411
