,Month,Number of players in thousands
0,Nov '20,68.55
1,Oct '20,69.89
2,Sep '20,90.32
3,Aug '20,154.25
4,Jul '20,58.72
5,Jun '20,81.8
6,May '20,76.17
7,Apr '20,94.16
8,Mar '20,88.22
9,Feb '20,70.8
10,Jan '20,59.19
11,Dec '19,84.08
12,Nov '19,87.62
13,Oct '19,60.93
14,Sept '19,80.47
15,Aug '19,96.26
16,Jul '19,94.91
17,Jun '19,74.26
18,May '19,97.07
19,Apr '19,107.9
20,Mar '19,115.1
21,Feb '19,74.47
22,Jan '19,82.27
23,Dec '18,89.03
24,Nov '18,131.77
25,Oct '18,99.74
26,Sept '18,86.98
27,Aug '18,107.1
28,Jul '18,118.19
29,Jun '18,129.0
30,May '18,73.1
31,Aprl '18,85.23
32,Mar '18,81.34
33,Feb '18,82.38
34,Jan '18,69.0
35,Dec '17,76.56
36,Nov '17,102.97
37,Oct '17,121.38
38,Sept '17,58.61
39,Aug '17,55.74
40,Jul '17,58.31
41,Jun '17,51.42
42,May '17,47.73
43,Apr '17,50.82
44,Mar '17,69.53
45,Feb '17,45.31
46,Jan '17,47.13
47,Dec '16,56.81
48,Nov '16,68.53
49,Oct '16,34.09
50,Sept '16,39.04
51,Aug '16,46.27
52,Jul '16,61.42
53,Jun '16,41.74
54,May '16,44.09
55,Apr '16,47.24
56,Mar '16,66.31
57,Feb '16,49.68
58,Jan '16,50.18
