,geographic region,Number of active social media users in millions
0,Eastern Asia,1065.88
1,Southeast Asia,482.73
2,Southern Asia,470.01
3,Northern America,329.25
4,South America,274.22
5,Central & Western Europe,198.07
6,Western Asia,158.96
7,Southern Europe,143.27
8,Eastern Europe,117.47
9,Northern Africa,106.48
10,Western Africa,55.06
11,Eastern Africa,42.91
12,Central America,29.66
13,Southern Africa,26.37
14,Northern Europe,24.05
15,Australia & Oceania,23.57
16,Caribbean,21.3
17,Central Asia,13.93
18,Central Africa,12.38
