,Response,Share of respondents
0,Retirement and old-age provision,47%
1,Health/ insurance companies,41%
2,Foreigners,30%
3,Environment protection,29%
4,Unemployment/ youth unemployment,26%
5,Personal security,23%
6,New poverty,21%
7,EU/ bileteral/ integration,21%
8,Refugees/ asylum,20%
9,Conflicts with the EU,16%
10,Social security,14%
11,(Nuclear) Energy,14%
12,Drugs/Alcohol,13%
13,Inflation,12%
14,State finances,12%
15,Wages,11%
16,Equality,11%
17,Present state of economy,11%
18,Rassicm,10%
19,Cohabitation,8%
