,Year,Gross domestic product in billion international dollars
0,2021*,33.63
1,2020*,32.99
2,2019*,34.88
3,2018,35.66
4,2017,36.25
5,2016,34.0
6,2015,32.18
7,2014,30.4
8,2013,28.48
9,2012,26.67
10,2011,24.58
11,2010,22.64
12,2009,21.44
13,2008,22.0
14,2007,20.86
15,2006,19.34
16,2005,18.08
17,2004,16.81
18,2003,15.55
19,2002,14.89
20,2001,14.55
21,2000,13.83
22,1999,12.99
23,1998,11.96
24,1997,11.41
25,1996,10.79
26,1995,9.96
27,1994,9.21
28,1993,8.59
29,1992,8.42
30,1991,8.2
31,1990,7.95
32,1989,7.67
33,1988,7.51
34,1987,8.28
35,1986,8.14
36,1985,8.06
37,1984,8.14
