,Year,Asia,Europe,North America,Latin America / Caribbean,Africa,Middle East,Oceania / Australia
0,2009,764.4,425.8,259.6,186.9,86.2,58.3,21.1
1,2010,825.1,475.1,266.2,204.7,110.9,63.24,21.3
2,2011,1016.8,500.72,273.07,235.82,139.88,77.02,23.93
3,2012,1076.68,518.51,273.79,254.92,167.34,90.0,24.29
4,2013,1265.14,566.26,300.29,302.01,240.15,103.83,24.8
5,2015,1563.21,604.12,313.86,333.12,313.26,115.82,27.1
6,2016,1792.16,614.98,320.07,384.75,339.28,132.59,27.54
7,2017,1938.08,659.63,320.06,404.27,388.38,146.97,28.18
8,2018,2062.14,704.83,345.66,438.25,455.84,164.04,28.44
9,2019,2300.47,727.56,327.57,453.7,522.81,175.5,28.64
