,State,Average attendance
0,Syracuse,21992
1,Kentucky,21695
2,North Carolina,19715
3,Tennessee,19034
4,Wisconsin,17170
5,Louisville,16601
6,Kansas,16236
7,Creighton,15980
8,Marquette,15611
9,Nebraska,15341
10,Arkansas,15278
11,Indiana,15206
12,Michigan St.,14797
13,Perdue,14467
14,Iowa St.,14099
15,Virginia,14087
16,Memphis,14065
17,Maryland,14009
18,Ohio St.,13922
19,NC State,13897
20,Arizona,13744
21,Dayton,12957
22,Iowa,12869
23,Michigan,12505
24,Illinois,12456
25,Texas Tech,12098
26,BYU,11958
27,South Carolina,11472
28,Cincinnati,11256
29,New Mexico,11107
