,Response,Share of households with home internet use
0,Georgia,1.9%
1,Maine,1.5%
2,Montana,1.5%
3,New Jersey,1.4%
4,Iowa,1.3%
5,Mississippi,1.3%
6,Vermont,1.3%
7,Kansas,1.1%
8,North Carolina,1.1%
9,New Hampshire,1%
10,New Mexico,1%
11,Nebraska,0.9%
12,Wyoming,0.9%
13,South Carolina,0.8%
14,California,0.7%
15,Indiana,0.7%
16,Maryland,0.7%
17,Nevada,0.7%
18,Wisconsin,0.7%
19,Total US,0.6%
20,Idaho,0.6%
21,Illinois,0.6%
22,Kentucky,0.6%
23,Washington,0.6%
24,Missouri,0.5%
25,Texas,0.5%
26,West Virginia,0.5%
27,Alaska,0.4%
28,Delaware,0.4%
29,Florida,0.4%
30,Hawaii,0.4%
31,North Dakota,0.4%
32,Oregon,0.4%
33,Pennsylvania,0.4%
34,District of Columbia,0.3%
35,Ohio,0.3%
36,Rhode Island,0.3%
37,Utah,0.3%
38,Arkansas,0.2%
39,Colorado,0.2%
40,Oklahoma,0.2%
41,South Dakota,0.2%
42,Virginia,0.2%
43,Alabama,0.1%
44,Arizona,0.1%
45,Louisiana,0.1%
46,Massachusetts,0.1%
47,Michigan,0.1%
48,Minnesota,0.1%
49,New York,0.1%
50,Tennessee,0.1%
