,Country,Number of recovery cases
0,Russia,796498
1,Turkey,240792
2,Germany,213725
3,Italy,206554
4,Spain,150376
5,France,86271
6,Belarus,69887
7,Ukraine,57051
8,Poland,44785
9,Portugal,41556
10,Armenia,37264
11,Romania,37056
12,Switzerland,34800
13,Azerbaijan,33364
14,Moldova,24156
15,Ireland,23364
16,Austria,22594
17,Belgium,18360
18,Czechia,17190
19,Denmark,15252
20,Bosnia-Herzegovina,12733
21,Bulgaria,11044
22,North Macedonia,10722
23,Norway,9348
24,Kosovo,8788
25,Finland,7200
26,Luxembourg,7140
27,Croatia,6809
28,Albania,4791
29,Hungary,3759
30,Montenegro,3606
31,Slovenia,2236
32,Slovakia,2225
33,Estonia,2076
34,Iceland,1964
35,Malta,1864
36,Lithuania,1816
37,United Kingdom,1569
38,Greece,1347
39,Georgia,1196
40,Latvia,1163
41,Cyprus,935
42,Andorra,893
43,Netherlands,829
44,San Marino,658
45,Monaco,116
46,Liechtenstein,96
47,Vatican City,12
