,crime type,Number of prisoners
0,Property crime,30537
1,Crime against the person,23030
2,Drug-related crimes,18989
3,Weapons-related crimes,9504
4,Crime against public administration,8401
5,Mafia-type organized crime **,7262
6,Crime against the justice system,6353
7,Crime against public trust,4373
8,Violation,3894
9,Offence against the family,3685
10,Public-order crime,2747
11,Others,2341
12,Crime against public safety,1571
13,Law on foreigners***,1301
14,Offence against religions and deceased,1044
15,Crime against public economy,813
16,Prostitution,557
17,Crime against the State,137
18,Crime against public morals,90
