,Company - commercial title/name,Rating
0,Toyota Trucks - T. Crews & Muppets: Road Trip,50.0
1,Subway Restaurant - Celebrities Love the Crunch,49.9
2,FOX-Pepsi Super Bowl XLVIII Halftime Show - FOX: Pepsi Halftime Show Promo,49.8
3,Audi Autos - Doberhuahua,49.8
4,FOX - New Girl Promo,49.6
5,FOX - 24 Live Another Day Promo (8:40 PM),49.6
6,FOX - 24 Live Another Day Promo (7:50 PM),49.6
7,T-Mobile - T. Tebow: Does Own Stunts,49.6
8,Intuit Quickbooks - Girls Bring the Toys,49.6
9,Sonos - Face Off,49.6
