,Response,Percentage of respondents who paid bribe
0,Sierra Leone,84%
1,Liberia,75%
2,Yemen,74%
3,Kenya,70%
4,Cameroon,62%
5,Libya,62%
6,Mozambique,62%
7,Zimbabwe,62%
8,Uganda,61%
9,Senegal,57%
10,Cambodia,57%
11,Tanzania,56%
12,Ghana,54%
13,India,54%
14,Morocco,49%
15,South Africa,47%
16,Democratic Republic of the Congo,46%
17,Afghanistan,46%
18,Mongolia,45%
19,Kyrgyzstan,45%
20,Ethiopia,44%
21,Nigeria,44%
22,Algeria,41%
23,South Sudan,39%
24,Bangladesh,39%
25,Jordan,37%
26,Ukraine,37%
27,Egypt,36%
28,Indonesia,36%
29,Taiwan,36%
30,Bolivia,36%
31,Pakistan,34%
32,Solomon Islands,34%
33,Kazakhstan,34%
34,Mexico,33%
35,Nepal,31%
36,Vietnam,30%
37,Moldova,29%
38,Iraq,29%
39,Bosnia and Herzegovina,28%
40,Madagascar,28%
41,Venezuela,27%
42,Global,27%
43,Papua New Guinea,27%
44,Lithuania,26%
45,Serbia,26%
46,Paraguay,25%
47,Colombia,22%
48,Greece,22%
49,Slovakia,21%
50,Turkey,21%
51,Peru,20%
52,Sri Lanka,19%
53,Latvia,19%
54,Cyprus,19%
55,Armenia,18%
56,Tunisia,18%
57,Thailand,18%
58,Macedonia (FYR),17%
59,Sudan,17%
60,Romania,17%
61,Kosovo,16%
62,Czech Republic,15%
63,Argentina,13%
64,Vanuatu,13%
65,Rwanda,13%
66,Hungary,12%
67,Israel,12%
68,Jamaica,12%
69,Palestine,12%
70,Philippines,12%
71,El Salvador,12%
72,Chile,10%
73,Bulgaria,8%
74,Switzerland,7%
75,United States,7%
76,Estonia,6%
77,Slovenia,6%
78,United Kingdom,5%
79,Italy,5%
80,Georgia,4%
81,Croatia,4%
82,Belgium,4%
83,South Korea,3%
84,Norway,3%
85,Canada,3%
86,Uruguay,3%
87,Maldives,3%
88,New Zealand,3%
89,Portugal,3%
90,Malaysia,3%
91,Spain,2%
92,Australia,1%
93,Japan,1%
94,Finland,1%
95,Denmark,1%
