,Year,"Hospital beds per 1,000 population"
0,2019,2.52
1,2018,2.55
2,2017,2.53
3,2016,2.6
4,2015,2.62
5,2014,2.67
6,2013,2.72
7,2012,2.79
8,2011,2.8
9,2010,2.78
10,2009,2.8
11,2008,2.85
12,2007,2.96
13,2006,3.02
14,2005,3.1
15,2004,3.44
16,2003,3.5
17,2002,3.64
18,2001,3.69
19,2000,3.77
20,1999,3.92
21,1998,4.38
22,1997,4.55
23,1996,4.57
24,1995,4.7
25,1993,5.41
26,1992,5.51
27,1991,5.76
28,1990,5.99
29,1989,6.34
30,1988,6.49
31,1987,6.61
32,1986,6.7
33,1985,6.75
34,1984,6.82
35,1983,6.84
36,1982,6.83
37,1981,6.86
38,1980,6.75
39,1979,6.79
40,1978,6.87
41,1977,6.88
42,1976,6.92
