,Year,GDP in billion chained (2012) U.S. dollars
0,2019,19072.5
1,2018,18638.2
2,2017,18108.1
3,2016,17688.9
4,2015,17403.8
5,2014,16912.0
6,2013,16495.4
7,2012,16197.0
8,2011,15840.7
9,2010,15598.8
10,2009,15208.8
11,2008,15604.7
12,2007,15626.0
13,2006,15338.3
14,2005,14912.5
15,2004,14406.4
16,2003,13879.1
17,2002,13493.1
18,2001,13262.1
19,2000,13131.0
20,1999,12610.5
21,1998,12038.3
22,1997,11521.9
23,1996,11031.4
24,1995,10630.3
25,1994,10352.4
26,1993,9951.5
27,1992,9684.9
28,1991,9355.4
29,1990,9365.5
