,Year,Fertility rate
0,2020,1.75
1,2015,1.87
2,2010,1.86
3,2005,1.66
4,2000,1.74
5,1995,1.78
6,1990,1.84
7,1985,1.78
8,1980,1.73
9,1975,2.01
10,1970,2.57
11,1965,2.81
12,1960,2.49
13,1955,2.18
14,1950,2.38
15,1945,2.0
16,1940,1.8
17,1935,1.79
18,1930,2.01
19,1925,2.4
20,1920,2.42
21,1915,2.84
22,1910,3.13
23,1905,3.4
24,1900,3.63
25,1895,3.9
26,1890,4.18
27,1885,4.54
28,1880,4.85
29,1875,4.91
30,1870,4.91
31,1865,4.93
32,1860,4.89
33,1855,4.88
34,1850,4.76
35,1845,4.82
36,1840,4.85
37,1835,4.86
38,1830,5.07
39,1825,5.52
40,1820,5.56
41,1815,5.53
42,1810,5.39
43,1805,5.34
44,1800,4.97
