,Sports team,Brand value in billion U.S. dollars
0,Dallas Cowboys,5.5
1,New York Yankees,5.0
2,Real Madrid,4.24
3,FC Barcelona,4.02
4,New York Knicks,4.6
5,Manchester United,3.81
6,New England Patriots,4.1
7,Los Angeles Lakers,4.4
8,Golden State Warriors,4.3
9,New York Giants,3.9
10,Los Angeles Dodgers,3.4
11,Boston Red Sox,3.3
12,Los Angeles Rams,3.8
13,Washington Football Team,3.4
14,Chicago Cubs,3.2
15,San Francisco 49ers,3.5
16,New York Jets,3.2
17,Boston Celtics,3.1
18,Chicago Bulls,3.2
19,Chicago Bears,3.45
