,Month,Units sold
0,Dec 19,9623
1,Nov 19,10397
2,Oct 19,11319
3,Sep 19,30398
4,Aug 19,5040
5,Jul 19,12056
6,Jun 19,14947
7,May 19,14431
8,Apr 19,11739
9,Mar 19,33536
10,Feb 19,6088
11,Jan 19,12249
12,Dec 18,11365
13,Nov 18,11391
14,Oct 18,11716
15,Sep 18,30161
16,Aug 18,4868
17,Jul 18,11395
18,Jun 18,14928
19,May 18,13387
20,Apr 18,11854
21,Mar 18,33194
22,Feb 18,6088
23,Jan 18,11891
24,Dec 17,10427
25,Nov 17,12065
26,Oct 17,12136
27,Sep 17,31430
28,Aug 17,4738
29,Jul 17,11617
30,Jun 17,15715
31,May 17,14660
32,Apr 17,13345
33,Mar 17,35690
34,Feb 17,6099
35,Jan 17,13048
36,Dec 16,10220
37,Nov 16,11382
38,Oct 16,11334
39,Sep 16,31988
40,Aug 16,4651
41,Jul 16,11650
