,Year,"Multiple births per 1,000 live births"
0,2018,33.5
1,2017,34.3
2,2016,34.4
3,2015,34.5
4,2014,35.1
5,2013,34.8
6,2012,34.4
7,2011,34.6
8,2010,34.5
9,2009,34.8
10,2008,34.1
11,2007,33.7
12,2006,33.7
13,2005,33.8
14,2004,33.9
15,2003,33.3
16,2002,33.0
17,2001,32.0
18,2000,31.1
19,1999,30.7
20,1998,30.0
21,1997,28.6
22,1996,27.4
23,1995,26.1
24,1994,25.7
25,1993,25.2
26,1992,24.4
27,1991,23.9
28,1990,23.3
29,1989,23.0
30,1988,22.4
31,1987,22.0
32,1986,21.6
33,1985,21.0
34,1984,20.3
35,1983,20.3
36,1982,19.9
37,1981,19.7
38,1980,19.3
