,Quarter,Revenue in million GBP
0,Q1 2020,3315
1,Q4 2019,3994
2,Q3 2019,3087
3,Q2 2019,2775
4,Q1 2019,2731
5,Q4 2018,3723
6,Q3 2018,3117
7,Q2 2018,2673
8,Q1 2018,2488
9,Q4 2017,3553
10,Q3 2017,2637
11,Q2 2017,2472
12,Q1 2017,2359
13,Q4 2016,3052
14,Q3 2016,2395
15,Q2 2016,2216
16,Q1 2016,2243
17,Q4 2015,2890
18,Q3 2015,2161
19,Q2 2015,2162
20,Q1 2015,2104
21,Q4 2014,2553
22,Q3 2014*,0
23,Q2 2014,2062
24,Q1 2014,1997
25,Q4 2013,2453
26,Q3 2013,2175
27,Q2 2013,1731
28,Q1 2013,1663
29,Q4 2012,2006
30,Q3 2012,1658
