,Year,Gross domestic product in billion international dollars
0,2021*,1399.18
1,2020*,1293.92
2,2019*,1377.54
3,2018,1322.56
4,2017,1239.65
5,2016,1169.19
6,2015,1118.84
7,2014,1073.67
8,2013,1043.88
9,2012,999.03
10,2011,914.03
11,2010,887.87
12,2009,816.31
13,2008,815.77
14,2007,786.63
15,2006,726.56
16,2005,671.84
17,2004,625.36
18,2003,572.93
19,2002,524.76
20,2001,486.66
21,2000,460.36
22,1999,431.09
23,1998,406.37
24,1997,435.06
25,1996,439.8
26,1995,408.78
27,1994,370.32
28,1993,335.73
29,1992,301.78
30,1991,270.12
31,1990,241.03
32,1989,208.14
33,1988,178.52
34,1987,152.21
35,1986,135.63
36,1985,125.98
37,1984,116.7
