,Month,Units sold
0,Dec 19,4980
1,Nov 19,5998
2,Oct 19,6160
3,Sep 19,16386
4,Aug 19,3452
5,Jul 19,7115
6,Jun 19,8527
7,May 19,7279
8,Apr 19,7472
9,Mar 19,18345
10,Feb 19,3281
11,Jan 19,8328
12,Dec 18,3810
13,Nov 18,6916
14,Oct 18,6312
15,Sep 18,16299
16,Aug 18,3552
17,Jul 18,7369
18,Jun 18,9162
19,May 18,6721
20,Apr 18,6872
21,Mar 18,18094
22,Feb 18,3075
23,Jan 18,7582
24,Dec 17,3773
25,Nov 17,5978
26,Oct 17,6900
27,Sep 17,15706
28,Aug 17,3060
29,Jul 17,7155
30,Jun 17,7972
31,May 17,6682
32,Apr 17,6291
33,Mar 17,18801
34,Feb 17,3243
35,Jan 17,7661
36,Dec 16,3788
37,Nov 16,6037
38,Oct 16,6590
39,Sep 16,15340
40,Aug 16,3849
41,Jul 16,7417
