,Year,Import volume in billion U.S. dollars
0,2019,452.24
1,2018,539.67
2,2017,505.22
3,2016,462.42
4,2015,483.2
5,2014,468.47
6,2013,440.43
7,2012,425.62
8,2011,399.37
9,2010,364.95
10,2009,296.37
11,2008,337.77
12,2007,321.44
13,2006,287.77
14,2005,243.47
15,2004,196.68
16,2003,152.44
17,2002,125.19
18,2001,102.28
19,2000,100.02
20,1999,81.79
21,1998,71.17
22,1997,62.56
23,1996,51.51
24,1995,45.54
25,1994,38.79
26,1993,31.54
27,1992,25.73
28,1991,18.97
29,1990,15.24
30,1989,11.99
31,1988,8.51
32,1987,6.29
33,1986,4.77
34,1985,3.86
