,Country,Number of enterprises
0,United Kingdom *,7630
1,France,2241
2,Italy,1765
3,Germany,1759
4,Poland,1700
5,Spain,1634
6,Netherlands,831
7,Slovakia,720
8,Hungary,601
9,Czechia,546
10,Belgium,482
11,Romania,359
12,Ireland,318
13,Sweden,292
14,Finland,247
15,Greece,243
16,Portugal,175
17,Latvia,168
18,Norway,147
19,Denmark,143
20,Lithuania,141
21,Austria,130
22,Switzerland,112
23,Estonia,99
24,Bulgaria,97
25,Slovenia,88
26,Croatia,50
27,Cyprus,35
28,Iceland **,15
29,Bosnia and Herzegovina ***,15
30,North Macedonia,10
31,Luxembourg,6
