,Response,Share of respondents
0,Any Activity,31.8%
1,Spending general leisure time at the beach,18.8%
2,Coastal walking,14.4%
3,Outdoor swimming,11.4%
4,Any boating activity,7.3%
5,Canoeing,3.3%
6,Angling,2%
7,Motor boating / cruising,1.1%
8,Small sail boat activities,1%
9,Cliff climbing,0.9%
10,Canal Boating,0.8%
11,Yacht cruising,0.7%
12,Rowing / sculling,0.7%
13,Power boating,0.7%
14,Leisure sub-aqua diving,0.7%
15,Water skiing,0.6%
16,Coasteering,0.6%
17,Using personal watercraft,0.5%
18,Small sail boat racing,0.4%
19,Windsurfing,0.2%
20,Yacht racing,0.2%
21,Kitesurfing,0.1%
