,Brand/segment,Percent share in segment market sales
0,Olay Regenerist/ facial anti-aging,8.9%
1,Olay Regenerist Micro-Sculpting/ facial anti-aging,7.3%
2,Neutrogena Oil-Free Acne Wash/ acne treatment,11.9%
3,Olay Total Effects 7-in-1/ facial anti-aging,6.4%
4,L'Oréal Revitalift/ facial anti-aging,5.7%
5,Olay/ facial cleanser,6.3%
6,Neutrogena Rapid Wrinkle Repair/ facial anti-aging,4.5%
7,Cetaphil/ facial cleansers,5.3%
8,Olay Complete/ facial moisturizers,11.9%
9,Olay Age-Defying/ facial anti-aging,4.3%
10,Simple/ facial cleansers,5%
11,Nair/ depilatories,27.1%
12,Johnson's Clean & Clear Morning Burst/ facial cleansers,4.5%
13,Neutrogena Deep Clean/ facial cleansers,4.3%
14,Clearasil Ultra Rapid Action/ acne treatments,6.4%
15,Neutrogena Moisture/ facial moisturiyer,8.9%
16,Bioré/ facial cleansers,3.7%
17,Garnier SkinRenew/ facial anti-aging,3%
18,RoC Retinol Correxion Deep Wrinkle/ facial anti-aging,2.9%
19,Pond's/ facial cleanser,3.5%
