,Month,Number of people quarantined
0,Jan 06 '21,150303
1,Jan 05 '21,162514
2,Jan 04 '21,155608
3,Jan 03 '21,132060
4,Jan 02 '21,139957
5,Jan 01 '21,149396
6,Dec 31,164643
7,Dec 30,164847
8,Dec 29,159002
9,Dec 28,156453
10,Dec 27,141744
11,Dec 26,150399
12,Dec 25,161845
13,Dec 24,162608
14,Dec 23,181114
15,Dec 22,176634
16,Dec 21,163030
17,Dec 20,171536
18,Dec 19,166375
19,Dec 18,205175
20,Dec 17,208368
21,Dec 16,203638
22,Dec 15,183997
23,Dec 14,177899
24,Dec 13,191726
25,Dec 12,209390
26,Dec 11,208280
27,Dec 10,240381
28,Dec 09,219992
29,Dec 08,254786
30,Dec 07,237786
31,Dec 06,231300
32,Dec 05,253747
33,Dec 04,250594
34,Dec 03,262548
35,Dec 02,289972
36,Dec 01,268256
37,Nov 30,262959
38,Nov 29,292277
39,Nov 28,286117
40,Nov 27,336352
41,Nov 26,323887
42,Nov 25,338190
43,Nov 24,338769
44,Nov 23,334331
45,Nov 22,362959
46,Nov 21,356130
47,Nov 20,391837
48,Nov 19,408567
49,Nov 18,434034
50,Nov 17,415601
51,Nov 16,415174
52,Nov 15,409322
53,Nov 14,440025
54,Nov 13,430310
55,Nov 12,404352
56,Nov 11,431104
57,Nov 10,407486
58,Nov 9,376567
59,Nov 8,407579
60,Nov 7,441832
61,Nov 6,433524
62,Nov 5,430732
63,Nov 4,408121
64,Nov 3,421582
65,Nov 2,435343
66,Nov 1,439159
67,Oct 31,504706
68,Oct 30,496213
69,Oct 29,489079
70,Oct 28,479288
71,Oct 27,442109
72,Oct 26,445991
73,Oct 25,446154
74,Oct 24,478761
75,Oct 23,398851
76,Oct 22,378348
77,Oct 21,335060
78,Oct 20,289447
79,Oct 19,304567
80,Oct 18,320482
81,Oct 17,327507
82,Oct 16,311625
83,Oct 15,296020
84,Oct 14,249349
85,Oct 13,212446
86,Oct 12,250132
87,Oct 9,188629
88,Oct 8,171251
89,Oct 7,145873
90,Oct 6,159530
91,Oct 5,154365
92,Oct 2,139056
93,Oct 1,133981
94,Sep 30,129961
95,Sep 29,134588
96,Sep 28,136128
97,Sep 27,139460
98,Sep 26,143442
99,Sep 25,137023
100,Sep 24,125220
101,Sep 23,114000
102,Sep 22,115789
103,Sep 21,116871
104,Sep 20,118212
105,Sep 19,118864
106,Sep 18,111530
107,Sep 17,103425
108,Sep 16,94273
109,Sep 15,95241
110,Sep 14,92057
111,Sep 13,91819
112,Sep 12,90216
113,Sep 11,86892
114,Sep 10,83170
115,Sep 9,79124
116,Sep 8,76047
117,Sep 7,72285
118,Sep 4,71311
119,Sep 2,96664
120,Sep 1,96888
121,Aug 31,96351
122,Aug 28,101547
123,Aug 27,101678
124,Aug 26,99705
125,Aug 25,100023
126,Aug 24,98233
127,Aug 14,108309
128,Aug 13,108677
129,Aug 12,106915
130,Aug 11,105427
131,Aug 10,104167
132,Aug 5,100151
133,Aug 4,98875
134,Aug 3,96425
135,Aug 2,98282
136,Jul 31,97189
137,Jul 30,97561
138,Jul 29,95453
139,Jul 28,94920
140,Jul 27,92803
141,Jul 26,93311
142,Jul 24,93815
143,Jul 23,92577
144,Jul 22,90961
145,Jul 21,90767
146,Jul 20,89822
147,Jul 19,89956
148,Jul 17,86073
149,Jul 16,90496
150,Jul 15,87698
151,Jul 14,86747
152,Jul 13,85610
153,Jul 12,86168
154,Jul 11,86915
155,Jul 10,86712
156,Jul 9,85955
157,Jul 8,84363
158,Jul 7,85327
159,Jul 6,83767
160,Jul 5,83813
161,Jul 4,84560
162,Jul 3,84790
163,Jul 2,83521
164,Jul 1,83033
165,Jun 30,83499
166,Jun 29,83460
167,Jun 28,85603
168,Jun 27,89294
169,Jun 26,91461
170,Jun 25,92409
171,Jun 24,92992
172,Jun 23,93890
173,Jun 22,93830
174,Jun 21,94585
175,Jun 20,96795
176,Jun 19,97215
177,Jun 18,93722
178,Jun 17,96255
179,Jun 16,95641
180,Jun 15,94518
181,Jun 14,93094
182,Jun 13,92654
183,Jun 12,89609
184,Jun 11,88074
185,Jun 10,86002
186,Jun 9,84916
187,Jun 8,82921
188,Jun 7,82759
189,Jun 6,81820
190,Jun 5,81244
191,Jun 4,79341
192,Jun 3,78691
193,Jun 2,78470
194,Jun 1,77406
195,May 31,78823
196,May 30,80182
197,May 29,79995
198,May 28,79818
199,May 27,79007
200,May 26,78864
201,May 25,78259
202,May 24,79326
203,May 23,80635
