,State,Gini Coeffecient
0,Puerto Rico,0.55
1,New York,0.51
2,District of Columbia,0.51
3,Connecticut,0.5
4,Louisiana,0.5
5,Mississippi,0.49
6,California,0.49
7,United States,0.48
8,Florida,0.48
9,Massachusetts,0.48
10,Illinois,0.48
11,Georgia,0.48
12,New Jersey,0.48
13,New Mexico,0.48
14,Kentucky,0.48
15,Texas,0.48
16,Arkansas,0.48
17,Tennessee,0.47
18,South Carolina,0.47
19,Pennsylvania,0.47
20,North Carolina,0.47
21,Alabama,0.47
22,Oklahoma,0.47
23,Nevada,0.47
24,Virginia,0.47
25,Ohio,0.47
26,West Virginia,0.46
27,Michigan,0.46
28,Missouri,0.46
29,Rhode Island,0.46
30,Montana,0.46
31,Arizona,0.46
32,Indiana,0.46
33,Washington,0.46
34,Maryland,0.46
35,North Dakota,0.46
36,Colorado,0.45
37,Delaware,0.45
38,Kansas,0.45
39,Oregon,0.45
40,Maine,0.45
41,Vermont,0.45
42,Minnesota,0.44
43,Iowa,0.44
44,New Hampshire,0.44
45,Nebraska,0.44
46,Hawaii,0.44
47,Wisconsin,0.44
48,Alaska,0.44
49,South Dakota,0.44
50,Wyoming,0.43
51,Idaho,0.43
52,Utah,0.43
