,Month,Number of tests
0,"Jan 7, 2021",2774915
1,"Jan 6, 2021",2729881
2,"Jan 5, 2021",2727896
3,"Jan 4, 2021",2700631
4,"Jan 3, 2021",2691904
5,"Jan 2, 2021",2685944
6,"Jan 1, 2021",2675247
7,Dec 31. 2020,2657119
8,"Dec 30, 2020",2639729
9,"Dec 29, 2020",2621427
10,"Dec 28, 2020",2615237
11,"Dec 27, 2020",2610590
12,"Dec 26, 2020",2607298
13,"Dec 25, 2020",2597804
14,"Dec 24, 2020",2575650
15,"Dec 23, 2020",2549464
16,"Dec 22, 2020",2528225
17,"Dec 21, 2020",2520288
18,"Dec 20, 2020",2504837
19,"Dec 19, 2020",2480804
20,"Dec 18, 2020",2456600
21,"Dec 17, 2020",2424533
22,"Dec 16, 2020",2406171
23,"Dec 15, 2020",2393535
24,"Dec 14, 2020",2320419
25,"Dec 13, 2020",2301174
26,"Dec 12, 2020",2275935
27,"Dec 11, 2020",2245483
28,"Dec 10, 2020",2216880
29,"Dec 9, 2020",2187555
30,"Dec 8, 2020",2158818
31,"Dec 7, 2020",1963148
32,"Dec 6, 2020",1941724
33,"Dec 5, 2020",1918043
34,"Dec 4, 2020",1894753
35,"Dec 3, 2020",1876274
36,"Dec 2, 2020",1850230
37,"Dec 1, 2020",1653780
38,"Nov 30, 2020",1648022
39,"Nov 29, 2020",1639076
40,"Nov 28, 2020",1622765
41,"Nov 27, 2020",1601203
42,"Nov 26, 2020",1566619
43,"Nov 25, 2020",1548318
44,"Nov 24, 2020",1528302
45,"Nov 23, 2020",1518158
46,"Nov 22, 2020",1502847
47,"Nov 21, 2020",1480674
48,"Nov 20, 2020",1455868
49,"Nov 19, 2020",1433008
50,"Nov 18, 2020",1409651
51,"Nov 17, 2020",1388132
52,"Nov 16, 2020",1360840
53,"Nov 15, 2020",1354742
54,"Nov 14, 2020",1326027
55,"Nov 13, 2020",1306887
56,"Nov 12, 2020",1282975
57,"Nov 11, 2020",1259454
58,"Nov 10, 2020",1238467
59,"Nov 9, 2020",1225399
60,"Nov 8, 2020",1209151
61,"Nov 7, 2020",1189962
62,"Nov 6, 2020",1167641
63,"Nov 5, 2020",1147616
64,"Nov 4, 2020",1129648
65,"Nov 3, 2020",1111991
66,"Nov 2, 2020",1097371
67,"Nov 1, 2020",1083743
68,"Oct 31, 2020",1065143
69,"Oct 30, 2020",1048580
70,"Oct 29, 2020",1032942
71,"Oct 28, 2020",1017689
72,"Oct 27, 2020",1002093
73,"Oct 26, 2020",990383
74,"Oct 25, 2020",980373
75,"Oct 24, 2020",961441
76,"Oct 23, 2020",949470
77,"Oct 22, 2020",935842
78,"Oct 21, 2020",919481
79,"Oct 20, 2020",910368
80,"Oct 19, 2020",904036
81,"Oct 18, 2020",894385
82,"Oct 17, 2020",884388
83,"Oct 16, 2020",871417
84,"Oct 15, 2020",861620
85,"Oct 14, 2020",850878
86,"Oct 13, 2020",841220
87,"Oct 12, 2020",834097
88,"Oct 11, 2020",825570
89,"Oct 10, 2020",815367
90,"Oct 9, 2020",803648
91,"Oct 8, 2020",792485
92,"Oct 7, 2020",781023
93,"Oct 6, 2020",771297
94,"Oct 5, 2020",765598
95,"Oct 4, 2020",759174
96,"Oct 3, 2020",751217
97,"Oct 2, 2020",740043
98,"Oct 1, 2020",727649
99,"Sep 30, 2020",715677
100,"Sep 29, 2020",704510
101,"Sep 28, 2020",697473
102,"Sep 27, 2020",690408
103,"Sep 26, 2020",680335
104,"Sep 25, 2020",668553
105,"Sep 24, 2020",657437
106,"Sep 23, 2020",645492
107,"Sep 22, 2020",632031
108,"Sep 21, 2020",626021
109,"Sep 20, 2020",615999
110,"Sep 19, 2020",604122
111,"Sep 18, 2020",591618
112,"Sep 17, 2020",580072
113,"Sep 16, 2020",567691
114,"Sep 15, 2020",557864
115,"Sep 14, 2020",549211
116,"Sep 13, 2020",537897
117,"Sep 12, 2020",529063
118,"Sep 11, 2020",517222
119,"Sep 10, 2020",505585
120,"Sep 9, 2020",495481
121,"Sep 8, 2020",487146
122,"Sep 7, 2020",481424
123,"Sep 6, 2020",470000
124,"Sep 5, 2020",460235
125,"Sep 4, 2020",452138
126,"Sep 3, 2020",445047
127,"Sep 2, 2020",437531
128,"Sep 1, 2020",429942
129,"Aug 31, 2020",428150
130,"Aug 30, 2020",424270
131,"Aug 29, 2020",417890
132,"Aug 28, 2020",414645
133,"Aug 27, 2020",408799
134,"Aug 26, 2020",405067
135,"Aug 25, 2020",400442
136,"Aug 24, 2020",398550
137,"Aug 23, 2020",397092
138,"Aug 22, 2020",394911
139,"Aug 21, 2020",393431
140,"Aug 20, 2020",390079
141,"Aug 19, 2020",387111
142,"Aug 18, 2020",383411
143,"Aug 17, 2020",380932
144,"Aug 16, 2020",378608
145,"Aug 15, 2020",375685
146,"Aug 14, 2020",372687
147,"Aug 13, 2020",369545
148,"Aug 12, 2020",366356
149,"Aug 11, 2020",363459
150,"Aug 10, 2020",362660
151,"Aug 9, 2020",360772
152,"Aug 8, 2020",358437
153,"Aug 7, 2020",355467
154,"Aug 6, 2020",352546
155,"Aug 5, 2020",350108
156,"Aug 4, 2020",348132
157,"Aug 3, 2020",346962
158,"Aug 2, 2020",344997
159,"Aug 1, 2020",342887
160,"Jul 31, 2020",339163
161,"Jul 30, 2020",336461
162,"Jul 29, 2020",333446
163,"Jul 28, 2020",330239
164,"Jul 27, 2020",328583
165,"Jul 26, 2020",326554
166,"Jul 25, 2020",323673
167,"Jul 24, 2020",319854
168,"Jul 23, 2020",316120
169,"Jul 22, 2020",312988
170,"Jul 21, 2020",310930
171,"Jul 20, 2020",310070
172,"Jul 19, 2020",307846
173,"Jul 18, 2020",305133
174,"Jul 17, 2020",302749
175,"Jul 16, 2020",300632
176,"Jul 15, 2020",299185
177,"Jul 14, 2020",296358
178,"Jul 13, 2020",295561
179,"Jul 12, 2020",294425
180,"Jul 11, 2020",293220
181,"Jul 10, 2020",292032
182,"Jul 9, 2020",289602
183,"Jul 8, 2020",288693
184,"Jul 7, 2020",286983
185,"Jul 6, 2020",286083
186,"Jul 5, 2020",285590
187,"Jul 4, 2020",283508
188,"Jul 3, 2020",281628
189,"Jul 2, 2020",279690
190,"Jul 1, 2020",277750
191,"Jun 30, 2020",271194
192,"Jun 29, 2020",273897
193,"Jun 28, 2020",274945
194,"Jun 27, 2020",270263
195,"Jun 26, 2020",267056
196,"Jun 25, 2020",265129
197,"Jun 24, 2020",261420
198,"Jun 23, 2020",258861
199,"Jun 22, 2020",258115
200,"Jun 21, 2020",256326
201,"Jun 20, 2020",253100
202,"Jun 19, 2020",249391
203,"Jun 18, 2020",245598
204,"Jun 17, 2020",242139
205,"Jun 16, 2020",236828
206,"Jun 15, 2020",235377
207,"Jun 14, 2020",233742
208,"Jun 13, 2020",230139
209,"Jun 12, 2020",226669
210,"Jun 11, 2020",222247
211,"Jun 10, 2020",217689
212,"Jun 9, 2020",214468
213,"Jun 8, 2020",210749
214,"Jun 7, 2020",210202
215,"Jun 6, 2020",206853
216,"Jun 5, 2020",202606
217,"Jun 4, 2020",195894
218,"Jun 3, 2020",191572
219,"Jun 2, 2020",189969
220,"Jun 1, 2020",187965
221,"May 31, 2020",185980
222,"May 30, 2020",183562
223,"May 29, 2020",180152
224,"May 28, 2020",174011
225,"May 27, 2020",169960
226,"May 26, 2020",166263
227,"May 25, 2020",164619
228,"May 24, 2020",162925
229,"May 23, 2020",159260
230,"May 22, 2020",155801
231,"May 21, 2020",147511
232,"May 20, 2020",142729
233,"May 19, 2020",138697
234,"May 18, 2020",137242
235,"May 17, 2020",135137
236,"May 16, 2020",131429
237,"May 15, 2020",127237
238,"May 14, 2020",123258
239,"May 13, 2020",118500
240,"May 12, 2020",114719
241,"May 10, 2020",108257
242,"May 9, 2020",103258
243,"May 8, 2020",99058
244,"May 7, 2020",94036
245,"May 6, 2020",86743
246,"May 5, 2020",85557
247,"May 4, 2020",83958
248,"May 3, 2020",82010
249,"May 2, 2020",79551
250,"May 1, 2020",76331
251,"Apr 30, 2020",72951
252,"Apr 29, 2020",70300
253,"Apr 28, 2020",67172
254,"Apr 27, 2020",65625
255,"Apr 26, 2020",63505
256,"Apr 25, 2020",60801
257,"Apr 24, 2020",58251
258,"Apr 23, 2020",55390
259,"Apr 22, 2020",52702
260,"Apr 21, 2020",50052
261,"Apr 20, 2020",48057
262,"Apr 19, 2020",46353
263,"Apr 18, 2020",43901
264,"Apr 17, 2020",41590
265,"Apr 16, 2020",38489
266,"Apr 15, 2020",37326
267,"Apr 14, 2020",35825
268,"Apr 13, 2020",34819
269,"Apr 12, 2020",33532
270,"Apr 11, 2020",31961
271,"Apr 10, 2020",29948
272,"Apr 9, 2020",27826
273,"Apr 8, 2020",25748
274,"Apr 7, 2020",23746
275,"Apr 6, 2020",22282
276,"Apr 5, 2020",21250
277,"Apr 4, 2020",19424
278,"Apr 3, 2020",17769
279,"Apr 2, 2020",16401
280,"Apr 1, 2020",15208
281,"Mar 31, 2020",14146
282,"Mar 30, 2020",13301
283,"Mar 29, 2020",12148
284,"Mar 28, 2020",10303
285,"Mar 27, 2020",9275
286,"Mar 26, 2020",8005
287,"Mar 25, 2020",6817
288,"Mar 24, 2020",6113
289,"Mar 23, 2020",5515
290,"Mar 22, 2020",4445
291,"Mar 21, 2020",3477
292,"Mar 20, 2020",3007
293,"Mar 19, 2020",2322
294,"Mar 18, 2020",1803
295,"Mar 17, 2020",1587
296,"Mar 16, 2020",1470
297,"Mar 15, 2020",1236
298,"Mar 14, 2020",1014
299,"Mar 13, 2020",858
300,"Mar 12, 2020",730
301,"Mar 11, 2020",602
302,"Mar 10, 2020",531
303,"Mar 9, 2020",362
304,"Mar 8, 2020",362
305,"Mar 7, 2020",319
306,"Mar 6, 2020",269
307,"Mar 5, 2020",230
308,"Mar 4, 2020",230
