,Instagram Influencer,Number of followers in millions
0,Nicky Jam (@nickyjampr),36.9
1,Carmen Villalobos (@cvillaloboss),15.7
2,Greeicy (@greeicy1),14.0
3,Luisa Fernanda W (@luisafernandaw),13.8
4,Camilo (@camilomusica),12.8
5,Manuel Turizo (@mturizomusic),8.6
6,Paula Galindo (@pautips),8.5
7,Jessica Cediel (@jessicacedielnet),7.4
8,Kevin Roldan KR (@kevinroldankr),7.0
9,Pipe Bueno (@pipebueno),7.0
10,Carlos Vives (@carlosvives),7.0
11,Dani Salomé (@daniela_ospina5),6.7
12,Carolina Cruz (@carolinacruzosorio),5.6
13,Sara Uribe (@sara_uribe),5.5
14,Paulina Vega Dieppa (@paulinavegadiep),5.5
