,Response,Share of respondents
0,"Difficult to concentrate when at home, effectiveness decreases",34.5%
1,Difficult to draw a line between work and home,33.8%
2,Poorly equipped workplace,32.9%
3,Difficult to work when family/children are near,32.1%
4,"All work processes are delayed, more difficult to agree on something",31.9%
5,Miss personal communication with colleagues and clients,30.3%
6,"Monotony, boredom",27.7%
7,Gain weight,26.8%
8,Take less care about oneself in terms of appearance,24.9%
9,Spend more time on cooking,19.5%
10,Work longer than usual because it is hard to stop,18.3%
