,Year,Inflation rate compared to previous year
0,2025*,4.17%
1,2024*,3.91%
2,2023*,3.65%
3,2022*,3.33%
4,2021*,2.98%
5,2020*,3.88%
6,2019,1.83%
7,2018,3.49%
8,2017,0.48%
9,2016,0.5%
10,2015,-0.56%
11,2014,5.17%
12,2013,5.39%
13,2012,5.91%
14,2011,7.44%
15,2010,0.95%
16,2009,7.11%
17,2008,17.32%
18,2007,7.66%
19,2006,11.22%
20,2005,7.53%
21,2004,6.92%
22,2003,10.08%
23,2002,9.37%
24,2001,7.63%
25,2000,6.93%
26,1999,7.95%
27,1998,12.36%
28,1997,8.07%
29,1996,11.77%
30,1995,9.61%
31,1994,13.29%
32,1993,9.2%
33,1992,10.8%
34,1991,15%
35,1990,8.7%
36,1989,14.94%
37,1988,16.81%
38,1987,11.49%
39,1986,13.1%
40,1985,9.41%
