,Quarter,Debt to equity ratio
0,Q3 19,84.18%
1,Q2 19,84.8%
2,Q1 19,86.71%
3,Q4 18,84.43%
4,Q3 18,84.67%
5,Q2 18,82.94%
6,Q1 18,85.56%
7,Q4 17,85.13%
8,Q3 17,86.3%
9,Q2 17,86.9%
10,Q1 17,89.08%
11,Q4 16,89.85%
12,Q3 16,89.34%
13,Q2 16,91.74%
14,Q1 16,92.49%
15,Q4 15,90.24%
16,Q3 15,89.01%
17,Q2 15,87.69%
18,Q1 15,86.63%
19,Q4 14,88.46%
20,Q3 14,86.82%
21,Q2 14,86.95%
22,Q1 14,87.92%
23,Q4 13,86.53%
24,Q3 13,88.68%
25,Q2 13,90.39%
26,Q1 13,92.31%
27,Q4 12,92.92%
28,Q3 12,90.57%
29,Q2 12,90.72%
30,Q1 12,90.37%
