,player name,Payroll in thousand U.S. dollars
0,Marco Fabian,2274.09
1,Alejandro Bedoya,1266.25
2,Jamiro  Monteiro,671.2
3,Sergio  Santos,668.5
4,Andrew  Wooten,595.83
5,Haris  Medunjanin,595.01
6,Andre  Blake,550.0
7,Kai  Wagner,360.15
8,Ilsinho,357.0
9,Kacper  Przybylko,277.0
10,Jack  Elliott,265.0
11,Raymon  Gaddis,190.0
12,Warren  Creavalle,175.3
13,Aurelien  Collin,175.0
14,Fafa  Picault,173.67
15,Joe  Bendik,144.0
16,Auston  Trusty,124.1
17,Jack  De Vries,120.56
18,Fabinho  Alves,120.0
19,Brenden  Aaronson,98.31
20,Mark  McKenzie,82.23
21,Derrick  Jones,80.9
22,Cory  Burke,79.72
23,Anthony  Fontana,78.68
24,Matt  Freese,77.65
25,Olivier  Mbaizo,70.88
26,RJ  Allen,70.25
27,Matthew  Real,57.23
28,Michee  Ngalina,56.25
