,Month,Year on year percentage change
0,Sep '20,0.9%
1,Aug '20,0.82%
2,Jul '20,0.73%
3,Jun '20,0.6%
4,May '20,0.48%
5,Apr '20,0.57%
6,Mar '20,0.62%
7,Feb '20,1.1%
8,Jan '20,1.41%
9,Dec '19,0.76%
10,Nov '19,0.39%
11,Oct '19,0.48%
12,Sep '19,0.8%
13,Aug '19,1.26%
14,Jul '19,1.42%
15,Jun '19,1.73%
16,May '19,1.89%
17,Apr '19,2.08%
18,Mar '19,2.33%
19,Feb '19,2.17%
20,Jan '19,1.99%
21,Dec '18,2.34%
22,Nov '18,2.78%
23,Oct '18,2.75%
24,Sep '18,2.35%
25,Aug '18,2.24%
26,Jul '18,2.17%
27,Jun '18,2.08%
28,May '18,1.82%
29,Apr '18,1.52%
30,Mar '18,1.39%
31,Feb '18,1.48%
32,Jan '18,1.71%
