, leading artists worldwide,Auction sales in million U.S. dollars
0,Pablo Picasso,346.22
1,Claude Monet,298.41
2,Zao Wou-Ki,237.85
3,Andy Warhol,228.33
4,Zhang Daqian,177.81
5,Wu Guanzhong,148.72
6,Gerhard Richter,130.53
7,David Hockney,130.51
8,Qi Baishi,129.75
9,Jean-Michel Basquiat,128.79
10,René Magritte,127.8
11,Ed Ruscha,116.81
12,Francis Bacon,115.32
13,Li Keran,112.14
14,Jeff Koons,111.1
15,San Yu,109.32
16,Kaws,108.45
17,Mark Rothko,106.46
18,Roy Lichtenstein,102.35
19,Paul Cézane,100.87
