,Month,Household expenditures in billion euros
0,Jun 2020,48.09
1,May 2020,44.12
2,Apr 2020,32.1
3,Mar 2020,39.51
4,Feb 2020,47.02
5,Jan 2020,47.31
6,Dec 2019,47.89
7,Nov 2019,48.01
8,Oct 2019,47.67
9,Sep 2019,47.62
10,Aug 2019,47.76
11,Jul 2019,47.7
12,Jun 2019,47.48
13,May 2019,47.54
14,Apr 2019,47.45
15,Mar 2019,47.26
16,Feb 2019,47.56
17,Jan 2019,47.7
18,Dec 2018,46.82
19,Nov 208,47.53
20,Oct 2018,47.62
21,Sep 2018,47.08
22,Aug 2018,47.63
23,July 2018,47.42
24,Jun 2018,47.64
25,May 2018,47.52
26,Apr 2018,47.03
27,Mar 2018,48.24
28,Feb 2018,48.24
29,Jan 2018,47.0
