,William Shakespeare play,Number of speeches
0,Antony and Cleopatra,1361
1,Othello,1309
2,Troilus and Cressida,1301
3,Hamlet,1250
4,Coriolanus,1240
5,Richard III,1224
6,King Lear,1181
7,The Merry Wives of Windsor,1163
8,Love's Labour's Lost,1123
9,Much Ado About Nothing,1062
10,All's Well That Ends Well,1034
11,Twelfth Night,1031
12,Romeo and Juliet,989
13,Measure for Measure,987
14,Henry IV - Part 2,987
15,Cymbeline,979
16,The Taming of the Shrew,965
17,Henry VI - Part 3,949
18,The Two Gentlemen of Verona,943
19,Henry VI - Part 2,921
20,Julius Caesar,895
21,As You Like It,872
22,Timon of Athens,870
23,Henry V,853
24,The Winter's Tale,814
25,Henry VIII,788
26,Henry VI - Part 1,787
27,Henry IV - Part 1,787
28,Macbeth,765
29,"Pericles, Prince of Tyre",756
30,The Merchant of Venice,722
31,The Tempest,702
32,The Comedy of Errors,664
33,Titus Andronicus,662
34,Richard II,636
35,King John,621
36,A Midsummer Night's Dream,605
